# Lo que se sabe de cada opcode de 3.6.10.10, y de dónde se sabe.
#
# El SIGNIFICADO está medido: sale de docs/opcodes.md, que se construyó cruzando el código del
# emulador con 242 capturas del juego real. Un opcode con significado aquí es un opcode cuyo efecto
# se ha visto pasar por el cable.
#
# El NOMBRE es una propuesta, no un dato. Ankama no publica los nombres del protocolo Unity; el de
# esta columna es el que le corresponde por lo que hace, escrito al estilo de Dofus. Sirve para dos
# cosas: para que el modelo de la etapa 4 tenga ejemplos resueltos con los que calibrar, y para
# poder hablar de un mensaje sin decir «jsd». Vacío significa que el documento no establece qué
# hace, y entonces no se inventa.
#
# columnas: opcode	dirección	nombre propuesto	significado	handler	forma
kqz	C2S	AuthenticationTicketMessage	Presenta el ticket de un solo uso; vincula la sesion a una cuenta y a un servidor, y un ticket desconocido cierra la conexion.	GameNodeProxy.HandleTicketPresentation	f2: ticket
krt	C2S		Llega junto con kqz; no espera nada de vuelta.	GameNodeProxy (empty branch)	-
kra	S2C	AuthenticationTicketAcceptedMessage	Abre la rafaga de bienvenida.	ConnectionProtocol.BuildWelcomeBurst	empty
lqu	S2C	BasicTimeMessage	Sincronizacion de reloj; se envia tambien en cada cambio de mapa.	BuildWelcomeBurst, BuildMapClock	f1: 120 (sync rate), f2: server clock, unix ms
hoy	S2C	HelloGameMessage	Saludo del servidor de juego; f5 se omite a proposito porque no aparece en ninguna de las tres capturas de arranque.	ConnectionProtocol.BuildHoy	f1: 30, f2: 1, f3: 1, f6: language, f7: 200
kqu	S2C	ServerOptionalFeaturesMessage	Funcionalidades habilitadas en el servidor, como ids opacos copiados de la captura. NO es una peticion de lista de personajes.	BuildWelcomeBurst	f1: packed [3, 7, 13, 20, 23, 105, 124, 125, 126, 136, 143, 145, 150]
mgq	S2C			BuildWelcomeBurst	f1: 1, f2: 1, f3: 1
mgt	S2C			BuildWelcomeBurst	f2: {} (empty submessage)
hpd	S2C			BuildWelcomeBurst	f1: 1
krs	S2C			BuildWelcomeBurst	empty
mgz	S2C	ContentCatalogVersionMessage	Identificador del catalogo de contenido; opaco, el cliente solo lo compara consigo mismo.	BuildWelcomeBurst	f1: 304672615
kqp	S2C		Se envia tres veces seguidas con tres cargas distintas; significado no establecido.	BuildWelcomeBurst	f1:1, f2:1 then f1:1 then empty
kvi	S2C	CharactersListMessage	Los personajes de la cuenta en el servidor elegido.	BuildCharactersList	f1 (rep) { f1 { f2: name, f3: level, f4 { f2 { f3: sex } }, f6: look, f7: breed }, f2: characterId }
kvd	S2C	CharactersListEndMessage	Cierra la lista de personajes; vacio, justo detras de kvi en la rafaga real y como continuacion de kwb al abrir otro hueco.	BuildWelcomeBurst, CharacterCreationHandler	empty
jtg	S2C	GiftsListMessage	Catalogo de regalos de la cuenta; se envia vacio porque nuestras cuentas no tienen ninguno.	BuildGiftCatalogue	f3 (rep) { f1 { f2: name, f3 {...item...}, f6 {...description...} }, f2: id }
kqq	C2S	LogoutRequestMessage	El cliente vuelve a la pantalla de personaje o de servidor.	GameNodeProxy	-
kqr	S2C	LogoutResultMessage	Respuesta a kqq; despues el cliente cierra la conexion el mismo y rehace el handshake.	GameNodeProxy.BuildKqrPayload	f1: session guid, f4: 1
kvz	C2S	CharacterCreationRequestMessage	Crear un personaje.	CharacterCreationHandler.CreateAsync	read for name, breed, sex, look
kvb	S2C	CharacterCreationResultMessage	Resultado de la creacion; vacio si va bien, f2 lleva el motivo del rechazo.	CharacterCreationHandler	empty, or f2: reason
kwb	C2S	CharacterCanBeCreatedRequestMessage	La pantalla de seleccion pide abrir otro hueco de personaje; vacio despues de recibir kvi/kvd.	CharacterCreationHandler.ConfirmCanCreateAsync	empty
kwd	C2S	CharacterNameSuggestionRequestMessage	El boton del dado pide un nombre sugerido.	CharacterCreationHandler.SuggestNameAsync	empty
kvk	S2C	CharacterNameSuggestionSuccessMessage	Un nombre de personaje sugerido (el boton del dado).	CharacterCreationHandler.SuggestNameAsync	f1: name
kvw	C2S	CharacterSelectionMessage	Seleccionar un personaje; el id se comprueba contra la cuenta de la sesion porque lo elige el cliente y no es de fiar.	CharacterSelectionHandler	read for character id
kvl	C2S	CharacterFirstSelectionMessage	El mismo paso justo despues de una creacion con exito: el cliente envia kvl detras de kvi y entra al mundo sin pasar por la lista.	CharacterSelectionHandler	read for character id
kva	S2C	CharacterSelectedSuccessMessage	Ya estas jugando con este personaje; sin el, el cliente se queda en la pantalla de personaje con el reloj de arena.	BuildCharacterSelectedSuccess	f1 { f1 { f1: details, f2: characterId } }
kpa	C2S	CharactersListRequestMessage	Peticion de la lista de personajes; se despacha, pero solo se ve una vez en 242 capturas.	CharacterSelectionHandler.HandleCharacterListRequest	-
lqc	C2S	GameContextCreateRequestMessage	Bloque 1 digerido: el servidor real espera esto antes de enviar el bloque 2.	GameNodeProxy	-
jru	S2C	CurrentMapMessage	Carga este mapa; enviarlo dos veces hace que el cliente recargue el mundo en bucle.	BuildLoadMap, WorldEntry.SendMapAsync	f2: map id
hjk	S2C		Reemplaza la lista completa de mapas con zaap conocidos por el personaje; viaja con jru en cada cambio de mapa.	BuildKnownZaaps, WorldEntry.SendMapAsync	f1: packed [known zaap map ids]
jrh	C2S	MapInformationsRequestMessage	Quien esta en este mapa; sin respuesta el mapa se dibuja vacio, sin avatar, sin PNJs y sin monstruos.	GameNodeProxy	-
jss	S2C	MapComplementaryInformationsDataMessage	Los actores del mapa; f6 (subarea) es obligatorio o el cliente revienta en MapInfoUI.SetInfoFromSubarea. El tipo de actor lo da el campo presente dentro de f2.f1: f5 jugador, f7 PNJ, f4 grupo de monstruos, con ids contextuales negativos para PNJs y grupos.	BuildMapActors	f2: map id, f6: subarea id, f5 (rep) { f1 { f1: cell, f2: facing }, f2 {...what it is...}, f3: contextual id }
lva	S2C	MapLoadedMessage	Eso es todo el listado de actores; vacio, justo detras de jss. Sin el, el cliente nunca da el mapa por cargado, espera unos dos segundos y reintenta con knm, kno y kny.	BuildActorsComplete	empty
kub	S2C	CharacterStatsListMessage	La hoja de personaje; el campo contenedor no es el mismo para cada caracteristica y equivocarlo mata la hoja entera con NullReferenceException. Se envia dos veces (con el personaje y con el mapa) y el cliente se queda con la segunda.	BuildCharacteristics, WorldEntry.ContainerOf	f2 { f1: where the next level starts, f7: where this one started, f8: experience held, f10: kamas, f11 (rep) { f1: id, <container> {...} } } - containers: f4 {f2: base, f3: parchments, f7: equipment} for most, f5 {f1: base, f5: bonus} for 1 and 23, f2 {f2: value} for 29, 47 and 96
irq	S2C	JobExperienceMultiUpdateMessage	Los oficios; se conserva la lista de ids (es dato de juego) y se tira el progreso capturado: todos salen a nivel 1.	WorldEntry.ResetJobs	f1 (rep) { f1: job id, f3: level, f4/f5: experience }
hms	S2C	SpellListMessage	Los hechizos que tiene el personaje, cada uno al grado que abre su nivel.	BuildSpellList	f1 (rep) { f1: grade, f3: spell id, f4: 1 }
ivx	S2C	InventoryContentMessage	El inventario, construido desde la base de datos; el hueco se omite cuando es cero porque cero es el amuleto.	BuildInventory	f3 (rep) { f1: slot, f5 { f1: template, f2 (rep) {...value..., f11: effect}, f3: quantity, f4: uid } }
itg	S2C	ShortcutBarContentMessage	Las barras de atajos; el servidor envia dos y nada dentro dice cual es cual: un hueco con hechizo lleva f6, uno con objeto lleva f9, y el f2 suelto del final es el tipo de barra (1 hechizos, ausente objetos).	BuildSpellBar, WorldEntry.Rebuilt	f1 (rep) { f2: slot, f6 { f2: spell id } }, f2: 1
