# Mapeo de 3.6.10.10 a DofusClient.
#
# origen: estructura = lo resolvió el emparejador y no se equivoca;
#         modelo     = había varios candidatos con la misma forma y eligió un LLM;
#         duda       = hay candidatos y nadie ha elegido. NO usar sin mirarlo.
#         retirado   = ni un solo candidato: o es nuevo, o ya no está.
#
# viejo	nuevo	origen	nombre	qué hace	lo usa el emulador
hdw	hdl	estructura			
hdx	hdo	estructura			
hea	hdn	estructura			
hed		duda			
hei		duda			
hek		duda			
hem		duda			
hen		duda			
heo	lxb	estructura			
her		duda			
hev	lmk	estructura			
hfb		duda			
hfd		duda			
hfe		duda			
hff		duda			
hfh		duda			
hfi		duda			
hfj		duda			
hfo	hnt	estructura			
hfp		duda			
hfr		duda			
hfs		duda			
hfv		duda			
hfw		duda			
hfx		duda			
hfy		duda			
hfz		duda			
hga		duda			
hgb		duda			
hgc	hxx	estructura			
hgg		duda			
hgj		duda			
hgm	ksp	estructura			
hgn		duda			
hgp	hfu	estructura			
hgq		duda			
hgr		duda			
hgu		duda			
hgv		duda			
hgx		duda			
hha		duda			
hhd		duda			
hhg		duda			
hhh		duda			sí
hhk		duda		No implementado. Exclusivo de las capturas de interactivos varios (Interactivos varios); 4 mensajes.	
hhl	jgk	estructura			
hhn		duda			
hhq		duda			sí
hhu		duda			
hhv		duda			
hhy		duda	TitlesAndOrnamentsListMessage	Lo que la cuenta posee; el cliente ya tiene el catalogo entero y lo que no este en esta lista sale en gris. Se envia una vez al entrar al mundo. En el replay se sustituye por los de la cuenta que juega.	sí
hhz		duda			
hic		duda			
hid		duda	TitleSelectedMessage	El titulo que se lleva ahora; vacio significa ninguno, no un cero dentro.	sí
hie		duda			sí
hif		duda	OrnamentSelectedMessage	El ornamento que se lleva ahora, con la misma regla.	sí
hig		duda			
hih		duda		No implementado. Exclusivo de las capturas de extras de apariencia; 2 mensajes.	
hii		duda			sí
him		duda		No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 10 mensajes.	
hin		duda			
hio		duda			
hip		duda			
hiq		duda			
hir	lop	estructura		No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 10 mensajes.	
hit		duda			
hiu	kws	estructura			
hiv		duda			
hix		duda			
hiy	hhw	estructura			
hjb		duda			
hjc		duda	TeleportRequestMessage	Destino elegido.	sí
hje		duda			
hjh		duda			
hjk		duda		Viaja con jru en cada cambio de mapa.	sí
hjl		duda			
hjq		duda			
hjx		duda			
hjy		duda			
hjz		duda			
hkb		duda			
hkc		duda			
hkd		duda			
hke		duda			
hkl		duda			
hkm	kes	estructura			
hkp		duda			
hks	kta	estructura		No implementado. Exclusivo de las capturas de alianzas (Alianzas); 1 mensajes.	
hkt		duda			
hkx		duda			
hla		duda			
hlb		duda			
hlc		duda			
hle		duda			
hli		duda			
hlm		duda			
hln		duda			
hlp		duda			
hlr		duda			
hlv	kxm	estructura			
hlw		duda			
hlx		duda			
hlz	lcn	estructura			
hma		duda			
hmb		duda			
hmc		duda			
hmd		duda		Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	sí
hme		duda			
hmh		duda			
hmi		duda			
hmj		duda			sí
hmk		duda			
hml		duda			sí
hmo	hlk	estructura			
hmp		duda			
hmq		duda			
hmt		duda	SpellVariantActivationRequestMessage	Cambiar un hechizo por su variante, desde el panel o desde la barra.	sí
hmw	kkv	estructura			
hmz	jsw	estructura			
hnc		duda			
hnd		duda			
hng		duda	SpellVariantActivationSuccessMessage	El hechizo nuevo y el grado que abre el nivel del personaje.	sí
hnh		duda			
hnn		duda			sí
hnp		duda			sí
hns	lkn	estructura		No implementado. Exclusivo de las capturas de emotes; 2 mensajes.	
hnt		duda			
hnu		duda			
hnv		duda			sí
hnw		duda			
hoc	ikg	estructura		No implementado. Exclusivo de las capturas de emotes; 7 mensajes.	
hoh		duda			
hom		duda			
hos		duda			
hot	lsm	estructura			
hou		duda		Sale en la entrada al mundo, encabezando el grupo de once ktq y un lru.	
hov		duda		No implementado. Exclusivo de las capturas de emotes; 19 mensajes.	
hox		duda			
hoy	kde	estructura	HelloGameMessage	Saludo del servidor de juego; f5 se omite a proposito porque no aparece en ninguna de las tres capturas de arranque.	sí
hpb		duda			
hpc		duda			
hpd		duda			sí
hpf		duda			
hph		duda			
hpl		duda			
hpm		duda		Nada establecido. 103 mensajes, 35 ficheros.	
hpo		duda			
hpq		duda			
hpr		duda			
hps		duda			
hpu		duda		No implementado. Exclusivo de las capturas de combate (Combate, mas alla de los de 4.2); 6 mensajes.	
hpv	ium	estructura			
hpy	hpa	estructura			
hpz		duda			
hqa		duda			sí
hqc		duda			
hqm		duda			
hqp		duda			
hqq		duda			
hqs		duda			
hqv		duda			
hqw		duda			
hqx		duda			
hra		duda			
hrh		duda			
hrj		duda			
hrl		duda			
hro		duda			
hrr	lpf	estructura			
hrz		duda			
hsb		duda			
hsc		duda			
hsh		duda			
hsk		duda			
hsm		duda			
hsn	ivo	estructura			
hsu		duda			
hsv		duda			
hsw	kkd	estructura			
hsy	hrd	estructura			
hsz		duda			
htf		duda			
htp		duda			
htw		duda			
htz		duda			
hua		duda			
hub		duda			
huc		duda			
hue		duda			
hum		duda			
hun		duda			
hup	jjn	estructura			
hur	jjp	estructura			
hus		duda			
hut		duda			
huu		duda			
huz		duda			
hvi	ksg	estructura			
hvk		duda			
hvs	hvs	estructura			
hvt		duda			
hvw		duda			
hvx		duda			
hwa		duda			
hwb		duda			
hwe		duda			
hwf		duda			
hwg		duda			
hwh		duda			
hwk		duda			
hwo	hym	estructura			
hwp	ken	estructura			
hwv		duda			
hwz		duda			
hxb		duda			
hxd		duda			
hxg	itj	estructura			
hxj		duda			
hxp		duda			
hxq		duda			
hxr		duda			
hxt		duda			
hxu		duda			
hxx		duda			
hyb		duda			
hyc		duda			
hyj	ili	estructura			
hym		duda			
hyr	iaa	estructura			
hyt		duda			
hyw		duda			
hyx	hxp	estructura			
hzc		duda			
hzd		duda			
hzg	jgi	estructura			
hzh		duda			
hzi		duda			
hzk		duda			
hzn		duda			
hzp		duda			
hzq		duda			
hzv		duda			
hzw	iwq	estructura			
hzx		duda			
hzy		duda			
iaf		duda			
iag		duda			
iai	hui	estructura			
iaj		duda			
iam		duda			
ian	lsk	estructura			
iap		duda			
iaq		duda			
ias		duda			
iav		duda			
iay		duda			
iaz		duda			
ibc		duda			
ibf		duda			
ibg	iay	estructura			
ibj	lwv	estructura			
ibk	hya	estructura			
ibl		duda			
ibp		duda			
ibr		duda			
ibs		duda			
ibv	lyw	estructura			
ibw		duda			
ibz		duda			
ice		duda			
ich	hyq	estructura			
icj	hys	estructura			
icm		duda			
icn		duda			
icp		duda			
icq		duda			
icr		duda			
icu		duda			
icx		duda			
icz		duda			
ida		duda			
ide		duda			
idf		duda			sí
idi		duda			
idl		duda			
idm		duda			
ido		duda			
idp		duda			
idt		duda			
idu		duda		La respuesta a ieo: cuatro seguidos en la entrada al mundo.	
idv		duda			
idw		duda		No implementado. Exclusivo de las capturas de extras de conexion; 16 mensajes.	
idz	kah	estructura		No implementado. Exclusivo de las capturas de extras de conexion; 21 mensajes.	
iea		duda			
ieb		duda			
iec		duda			
ied		duda			
iee		duda			
ief		duda			
ieg		duda		No implementado. Exclusivo de las capturas de extras de conexion; 12 mensajes.	
