# viejo -> nuevo
hee -> jlm
heg -> jlo
hez -> les
hfu -> hgp
hhs -> mah
hht -> jsd
hhx -> hqc
hia -> krc
hiq -> lyr
his -> mcy
hkk -> kda
hkm -> lgd
hmj -> lxk
hmm -> jua
hnt -> hfo
hoa -> kif
hog -> ind
hoh -> ino
hot -> jtr
hpy -> izs
hql -> jac
hrd -> hsy
hre -> hus
hrf -> iyu
hss -> hub
hty -> kgb
htz -> mfc
hui -> iai
hvl -> kdk
hvs -> hvs   (igual)
hxp -> hyx
hxx -> hgc
hya -> ibk
hyj -> hju
hym -> hwo
hyq -> ich
hys -> icj
hzi -> mfy
hzs -> jjj
iaa -> hyr
iay -> ibg
ibc -> kcx
icc -> irs
icx -> jnc
ied -> iha
ifo -> ihw
ifx -> iyk
igk -> jnr
igm -> mbl
igv -> ltq
ihp -> imu
ihr -> inq
iib -> lrt
iig -> imr
iik -> lgz
ijd -> jwn
ijv -> ktx
ikg -> hoc
ikr -> ikr   (igual)
ikv -> lkz
ili -> hyj
imb -> lnb
imj -> ipb
imm -> lro
iod -> iqu
ioi -> hsa
ipe -> ipz
ipi -> imv
ipm -> kbd
ipr -> knc
iqx -> ipp
isk -> ikf
isn -> kaw
ivd -> iwq
ivo -> hsn
iwf -> juz
iwp -> hhu
iwq -> hzw
iwv -> lco
ixf -> lmo
ixw -> ixd
iyd -> jbu
iyp -> jat
iza -> kih
izd -> jbg
izk -> mae
izo -> jar
jce -> jet
jdt -> jfz
jdw -> jgb
jdx -> jgc
jea -> jgi
jeb -> jgj
jed -> jgl
jee -> jgn
jeg -> jgg
jep -> jgs
jer -> jgz
jex -> ket
jfk -> kns
jfl -> mcn
jfz -> ilb
jgc -> lsz
jgi -> hzg
jgk -> isu
jjq -> jve
jkb -> jlw
jkk -> jro
jlj -> jnt
jlq -> jko
jlt -> jfm
jlv -> jfo
jnf -> ipv
jni -> jnn
jnv -> kil
joi -> jhb
joj -> jql
jol -> jqn
joo -> kcs
jor -> jrr
joz -> kqr
jpz -> izz
jqd -> kim
jrd -> jor
jsl -> lej
jtk -> leb
jtz -> jio
juc -> jtv
juv -> jan
juz -> jzd
jvb -> jzh
jvc -> jzj
jvd -> jzi
jve -> jzk
jvf -> kfw
jwc -> ioo
jwy -> kfx
jxa -> kfz
jxb -> jrw
jya -> hqb
jyi -> kba
jzr -> jzw
jzs -> lfu
kah -> idz
kan -> kid
