# Mapeo de 3.6.8.8 a 3.6.9.9.
#
# origen: estructura = lo resolvió el emparejador y no se equivoca;
#         modelo     = había varios candidatos con la misma forma y eligió un LLM;
#         duda       = hay candidatos y nadie ha elegido. NO usar sin mirarlo.
#         retirado   = ni un solo candidato: o es nuevo, o ya no está.
#
# viejo	nuevo	origen	nombre	qué hace	lo usa el emulador
hdx		duda			
hea	lkp	estructura			
hef		duda			
heh		duda			
hei		duda			
hel		duda			
hem		duda			
hen		duda			
heq		duda			
hev	lxu	estructura			
hfa		duda			
hfh		duda			
hfk		duda			
hfm		duda			
hfn		duda			
hfo		duda			
hfp		duda			
hfq		duda			
hfu		duda			
hfw		duda			
hfy		duda			
hfz		duda			
hgb		duda			
hgc		duda			
hgd		duda			
hgi		duda			
hgl		duda			
hgq		duda			
hgr		duda			
hgv		duda			
hgz		duda			
hha		duda			
hhb		duda			
hhd		duda			
hhg		duda			
hhj		duda			
hhs		duda			
hht		duda			
hhu		duda			
hhx		duda			
hhy		duda			
hhz		duda			
hia		duda			
hib		duda			
hif		duda			
hig		duda			
hih	jii	estructura			
hii	jhb	estructura			
hij		duda			
hik		duda			
hil		duda			
him		duda			
hir		duda			
his		duda			
hit	iyk	estructura			
hiv		duda			
hiz	kmq	estructura			
hjb		duda			
hjf		duda			
hjh		duda			
hjn		duda			
hjo		duda			
hjp		duda			
hjq		duda			
hjr	ipt	estructura			
hjv		duda			
hjw		duda			
hjx	hjc	estructura			
hjz		duda			
hke	jlp	estructura			
hki	hkd	estructura			
hkj		duda			
hkk		duda			
hkn		duda			
hko		duda			
hkr		duda			
hks		duda			
hkt		duda			
hkv		duda			
hkw		duda			
hkx		duda			
hky		duda			
hkz	jue	estructura			
hla		duda			
hlb	lrn	estructura			
hlc		duda			
hle		duda			
hlg		duda			
hlh		duda			
hli		duda			
hlj		duda			
hlk		duda			
hlm		duda			
hln		duda			
hlp		duda			
hlq		duda			
hlr		duda			
hlu		duda			
hlv		duda			
hlz		duda			
hmd		duda			
hmk		duda			
hml	hmh	estructura			
hmm		duda			
hmp		duda			
hmt		duda			
hmv		duda			
hmw		duda			
hnb		duda			
hnf		duda			
hnl		duda			
hnp	hhq	estructura			
hnt		duda			
hnu		duda			
hnw		duda			
hnx		duda			
hob		duda			
hod		duda			
hoe	hqc	estructura			
hof		duda			
hoj		duda			
hol		duda			
hom		duda			
hou		duda			
hov		duda			
how		duda			
hox		duda			
hoy	joz	estructura			
hpa		duda			
hpb		duda			
hpd		duda			
hpj	kpe	estructura			
hpk		duda			
hpl		duda			
hpp		duda			
hpr	ioo	estructura			
hps		duda			
hpu		duda			
hpv		duda			
hpw	ind	estructura			
hpx		duda			
hqa		duda			
hqb		duda			
hqc	kgw	estructura			
hqd	kri	estructura			
hqg		duda			
hqh	jro	estructura			
hqj	lag	estructura			
hqk		duda			
hql		duda			
hqm		duda			
hqz	hrf	estructura			
hrb	hrh	estructura			
hre	htp	estructura			
hrg		duda			
hri		duda			
hrl		duda			
hrm		duda			
hrn		duda			
hrq	lsy	estructura			
hru		duda			
hrw		duda			
hrx	jor	estructura			
hsb		duda			
hsf	htd	estructura			
hsh		duda			
hsi		duda			
hsj	hub	estructura			
hsk	hus	estructura			
hsm	mak	estructura			
hso		duda			
hsw		duda			
hsx	iyu	estructura			
htb		duda			
htg		duda			
hti		duda			
htj		duda			
htx		duda			
hud		duda			
hue	mgf	estructura			
hug	mgh	estructura			
huh	htz	estructura			
huq		duda			
huu		duda			
hux		duda			
huz		duda			
hvb		duda			
hvd		duda			
hvg		duda			
hvm		duda			
hvr		duda			
hvt		duda			
hvw	hvw	estructura			
hwd		duda			
hwg	hks	estructura			
hwh		duda			
hwk		duda			
hwl		duda			
hwm	isa	estructura			
hwn	kan	estructura			
hwp		duda			
hws		duda			
hwu		duda			
hwv		duda			
hwx		duda			
hxa		duda			
hxb		duda			
hxc	isz	estructura			
hxf	hzg	estructura			
hxg		duda			
hxh		duda			
hxi	kgf	estructura			
hxk		duda			
hxl	ibk	estructura			
hxm		duda			
hxp		duda			
