# Mapeo de Ankama.Dofus.Protocol.Game a 3.6.10.10.
#
# origen: estructura = lo resolvió el emparejador y no se equivoca;
#         modelo     = había varios candidatos con la misma forma y eligió un LLM;
#         duda       = hay candidatos y nadie ha elegido. NO usar sin mirarlo.
#         retirado   = ni un solo candidato: o es nuevo, o ya no está.
#
# viejo	nuevo	origen	nombre	qué hace	lo usa el emulador
hdn		duda			
hdt		duda			
hdw		duda			
hdy		duda			
hdz		duda			
hea		duda			
heb		duda			
hec		duda			
hee	jlm	estructura			
heg	jlo	estructura			
hek		duda			
hen		duda			
hep		duda			
heq		duda			
her		duda			
hes		duda			
het		duda			
hez	les	estructura			
hfa		duda			
hfc		duda			
hfd		duda			
hfe		duda			
hff		duda			
hfh		duda			
hfm		duda			
hfr		duda			
hfs		duda			
hfu	hgp	estructura			
hfv		duda			
hfw		duda			
hfx		duda			
hfy		duda			
hga		duda			
hgd		duda			
hgg		duda			
hgj		duda			
hgk		duda			
hgl		duda			
hgo		duda			
hgp		duda			
hgq		duda			
hgr		duda			
hgu		duda			
hgx		duda			
hha		duda			
hhb		duda			
hhc		duda			
hhd		duda			
hhe		duda			
hhf		duda			sí
hhg		duda			
hhh		duda			sí
hhm		duda			
hhn		duda			
hho		duda			
hhp		duda			
hhs	mah	estructura			
hht	jsd	estructura			
hhu		duda			
hhv		duda			
hhx	hqc	estructura			
hhy		duda			sí
hhz		duda			
hia	krc	estructura			
hib		duda			
hic		duda			
hif		duda			sí
hii		duda			sí
hik		duda			
hin		duda			
hiq	lyr	estructura			
hir		duda			
his	mcy	estructura			
hit		duda			
hiw		duda			
hiz		duda			
hjd		duda			
hjh		duda			
hjl		duda			
hjn		duda			
hjo		duda			
hjr		duda			
hjs		duda			
hjt		duda			
hju		duda			
hjv		duda			
hjz		duda			
hka		duda			
hkc		duda			
hkd		duda			
hke		duda			
hkf		duda			
hkg		duda			
hkh		duda			
hki		duda			
hkj		duda			
hkk	kda	estructura			
hkl		duda			
hkm	lgd	estructura			
hkq		duda			
hkr		duda			
hks		duda			
hkv		duda			
hky		duda			
hlb		duda			
hlc		duda			
hld		duda			
hlf		duda			
hlg		duda			
hlj		duda			
hlk		duda			
hlm		duda			
hln		duda			
hlo		duda			
hlu		duda			
hmc		duda			
hme		duda			
hmj	lxk	estructura			sí
hmk		duda			
hml		duda			sí
hmm	jua	estructura			
hms		duda			sí
hmt		duda			sí
hmu		duda			
hmv		duda			sí
hmw		duda			
hmz		duda			
hnc		duda			
hng		duda			sí
hnh		duda			
hnk		duda			sí
hnn		duda			sí
hnq		duda			sí
hnt	hfo	estructura			
hnu		duda			
hnv		duda			sí
hnx		duda			
hnz		duda			
hoa	kif	estructura			
hob		duda			
hoe		duda			
hof		duda			
hog	ind	estructura			
hoh	ino	estructura			
hoi		duda			
hol		duda			sí
hop		duda			
hot	jtr	estructura			
hou		duda			
hoy		duda			sí
hoz		duda			
hpa		duda			
hpl		duda			
hpm		duda			
hpp		duda			
hpr		duda			
hps		duda			
hpv		duda			
hpw		duda			
hpx		duda			
hpy	izs	estructura			
hqb		duda			
hqe		duda			
hql	jac	estructura			
hqp		duda			
hqu		duda			
hrb		duda			
hrc		duda			
hrd	hsy	estructura			
hre	hus	estructura			
hrf	iyu	estructura			
hrk		duda			
hrl		duda			
hrm		duda			
hrt		duda			
hsb		duda			
hsc		duda			
hsg		duda			
hsi		duda			
hss	hub	estructura			
hsu		duda			
hsv		duda			
htc		duda			
hte		duda			
htf		duda			
htk		duda			
htl		duda			
hto		duda			
htp		duda			
hty	kgb	estructura			
htz	mfc	estructura			
hub		duda			
hui	iai	estructura			
hul		duda			
hum		duda			
hup		duda			
hus		duda			
hut		duda			
huy		duda			
hva		duda			
hvb		duda			
hvc		duda			
hvd		duda			
hvj		duda			
hvk		duda			
hvl	kdk	estructura			
hvs	hvs	estructura			
hvv		duda			
hvw		duda			
hwb		duda			
hwc		duda			
hwd		duda			
hwq		duda			
hwu		duda			
hwv		duda			
hwx		duda			
hwy		duda			
hwz		duda			
hxg		duda			
hxh		duda			
hxk		duda			
hxn		duda			
hxo		duda			
hxp	hyx	estructura			
hxu		duda			
hxv		duda			
hxx	hgc	estructura			
hxz		duda			
hya	ibk	estructura			
hyb		duda			
hye		duda			
hyf		duda			
hyi		duda			
hyj	hju	estructura			
hyk		duda			
hyl		duda			
hym	hwo	estructura			
hyn		duda			
hyq	ich	estructura			
hys	icj	estructura			
hyy		duda			
hzb		duda			
hzc		duda			
hze		duda			
hzh		duda			
hzi	mfy	estructura			
hzo		duda			
hzs	jjj	estructura			
hzv		duda			
hzw		duda			
hzx		duda			
iaa	hyr	estructura			
iad		duda			
iae		duda			
iah		duda			
iai		duda			
iaj		duda			
iam		duda			
ian		duda			
iap		duda			
iar		duda			
iau		duda			
iax		duda			
iay	ibg	estructura			
iaz		duda			
iba		duda			
ibb		duda			
ibc	kcx	estructura			
ibi		duda			
ibj		duda			
ibk		duda			
ibl		duda			
ibm		duda			
ibo		duda			sí
ibp		duda			
ibs		duda			
ibt		duda			sí
ibu		duda			
ibv		duda			
ibw		duda			
ibz		duda			
icc	irs	estructura			
ice		duda			
icf		duda			
icg		duda			sí
ich		duda			
ici		duda			
icj		duda			
ick		duda			
icl		duda			
icn		duda			
icq		duda			
ict		duda			
icu		duda			
icv		duda			
icw		duda			
icx	jnc	estructura			
idb		duda			
idg		duda			
idk		duda			
idp		duda			
idq		duda			
idr		duda			
idv		duda			
idx		duda			
idy		duda			
idz		duda			
iea		duda			
ieb		duda			
iec		duda			
ied	iha	estructura			
iee		duda			
ief		duda			
iej		duda			
iek		duda			
iem		duda			
ien		duda			
ieo		duda			
ieq		duda			
iet		duda			
ieu		duda			
iex		duda			
iez		duda			
ifa		duda			
ifc		duda			
ifd		duda			
ife		duda			sí
iff		duda			
ifj		duda			
ifk		duda			
ifm		duda			
ifn		duda			
ifo	ihw	estructura			
ifq		duda			
ifs		duda			
ift		duda			
ifx	iyk	estructura			
ify		duda			
