opcode	uso	fichero	linea	contexto	nota
bcy	push	Jondo.Unity.Launcher/Handlers/CommandHandler.cs	257	"type.ankama.com/bcy", Pb.New()	NetworkEnvelope.BuildGameNodePacket(uri, ...)
bel	descartado	Jondo.Unity.Launcher/Handlers/CharacterCreationHandler.cs	72	"kro", "bel", "dan", "gor" };	FALSO POSITIVO: silaba del generador de nombres (array Middle)
bvr	push	Jondo.Unity.Launcher/Handlers/CommandHandler.cs	171	"type.ankama.com/bvr", Pb.New().Var(1, GameState.Kamas).Build()));	NetworkEnvelope.BuildGameNodePacket(uri, ...)
bvr	push	Jondo.Unity.Launcher/Handlers/FightHandler.cs	4763	await WriteFrameAsync(stream, BuildGameNodePacket("type.ankama.com/bvr", bvrMsg.ToByteArray()));	NetworkEnvelope.BuildGameNodePacket(uri, ...)
bvr	push	Jondo.Unity.Launcher/Network/TransitionPacketsBuilder.cs	101	return NetworkEnvelope.BuildGameNodePacket("type.ankama.com/bvr", bvrMsg.ToByteArray());	NetworkEnvelope.BuildGameNodePacket(uri, ...)
dan	descartado	Jondo.Unity.Launcher/Handlers/CharacterCreationHandler.cs	72	"kro", "bel", "dan", "gor" };	FALSO POSITIVO: silaba del generador de nombres (array Middle)
gor	descartado	Jondo.Unity.Launcher/Handlers/CharacterCreationHandler.cs	72	"kro", "bel", "dan", "gor" };	FALSO POSITIVO: silaba del generador de nombres (array Middle)
hhf	descartado	Jondo.Unity.Launcher/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)
hhf	descartado	Jondo.Unity.Launcher/Protocol/NetworkMessage.cs	304	case "hhf": return ("World Loading", "Interfaces", "SocialGroupRights (Rights granted within the guild)");	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo
hhf	descartado	Jondo.Unity.Protocol/TypeRegistry.cs	17	Register("hhf", hhf.Descriptor);	DESCARTADO: TypeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto
