protocol	opcode	schema_fingerprint	field_schema	client_owner_action	client_context	server_directions	server_references	server_status	evidence_grade	next_action
Connection	mhh	13d02503bfe5bdbd1086b4afbaf924d49c34b3aff97ea6cebf070ec86383175a	1:mhj gfcd; 2:mhl gfce; 3:mhn gfcf				0	shape-known	C	Locate client feature and capture a journey.
Connection	mhj	3623511fcb0ee3bf8f8b55d384108fa476847d9806c651ffa553ee0cacb7a7c9	1:string gfck; 2:mho gfcl; 3:mhs gfcm; 4:mih gfcn; 5:mix gfco; 6:mjc gfcp; 7:mjh gfcq; 8:mjp gfcr				0	shape-known	C	Locate client feature and capture a journey.
Connection	mhl	1d0cdc08d484812a4ee92c6372865440a707b69b0e1a3a93db640c54c759b5a5	1:string gfcw; 2:mhp gfcx; 3:mig gfcy; 4:mim gfcz; 5:miz gfda; 6:mjo gfdb; 7:mjw gfdc				0	shape-known	C	Locate client feature and capture a journey.
Connection	mhn	3f803ac6ab6f1b51811bcfede3e6508a8b46a22bc26ec51b70103705761d6f39	1:mhq gfdh				0	shape-known	C	Locate client feature and capture a journey.
Connection	mho	96ca43e00e6adf9a5b0df394ce04bf3e8266db4fd5f1dc12f15fca07f86f8193					0	shape-known	C	Locate client feature and capture a journey.
Connection	mhp	7a96210311fbb844a5070e07233716e4d3591033355bd0c19879c08af7bf8c2c					0	shape-known	C	Locate client feature and capture a journey.
Connection	mhq	07a5c8ffbb8ff2b57885f5c0238eaf02195721387d91808ed744b1ae2c477b11	1:mit gfds				0	shape-known	C	Locate client feature and capture a journey.
Connection	mhs	7a39abd64687b126abd0c04c063936dc3f3d428d6a301f8cb12b9648ec04f34e	1:string gfdw; 3:mhv gfdx; 4:mhw gfdy; 5:string gfdz				0	shape-known	C	Locate client feature and capture a journey.
Connection	mht	0577cc82eef244f3150580e1f2de42a43efd8e1c0cfefe09f69e54e167c9683b	1:int64 gfee; 2:string gfef				0	shape-known	C	Locate client feature and capture a journey.
Connection	mhv	08555638a3b49d3df274549c0497794debedee466f43a6dac171ce39cfd35422	1:string gfej; 2:mht gfek				0	shape-known	C	Locate client feature and capture a journey.
Connection	mhw	cf839ea8dae1acfbcbb3921ec0ed45bf5c57cf52ef87077703db5c81becc177d	1:string gfeo				0	shape-known	C	Locate client feature and capture a journey.
Connection	mhy	c77b3391c4cdb86de321a627b160ae600d7363247fbccd64e3d9edffc7a2dfd4	1:bool gfes; 2:bool gfet; 3:bool gfeu; 4:bool gfev				0	shape-known	C	Locate client feature and capture a journey.
Connection	mia	403d4e3fbc00bc59de449b2a133760cb0b9572efefae66ad0de897662a888c6f	1:int64 gfez; 2:string gffa; 3:string gffb; 4:miq gffc; 5:string gffd; 6:mhy gffe; 7:optional int32 gfff; 8:mja gffh; 9:mjx gffi				0	shape-known	C	Locate client feature and capture a journey.
Connection	mie	24b0df71c867e606e08869633d12cb7aec8901fda1d156c23130731fbdba3099	1:mib gffm; 2:optional string gffn; 3:optional string gffp				0	shape-known	C	Locate client feature and capture a journey.
Connection	mig	bfebb629a7a8c064ac1f1398d8ebf595e9f46fcfbccb333373344f88970967ca	1:mia gffu; 2:mie gffv				0	shape-known	C	Locate client feature and capture a journey.
Connection	mih	248e45dcdbda562c05c74ec5650f0d0e42b0caaa89ad258c0ae3d7c36b6a2c59	1:int32 gfga				0	shape-known	C	Locate client feature and capture a journey.
