protocol	opcode	direction	usage	source_file	source_line	source_context	audit_note	phase_hint	inventory_origin
Unknown	bcy	S2C/push	push	Jondo.Unity.Server/Handlers/CommandHandler.cs	257	type.ankama.com/bcy, Pb.New()	NetworkEnvelope.BuildGameNodePacket(uri, ...)	Unclassified	audited-inventory
Unknown	bcy	S2C/push	push	Jondo.Unity.Server/Handlers/CommandHandler.cs	271	"""type.ankama.com/bcy"", Pb.New()"	Current-source literal scan; semantic verification still required.	Unclassified	current-source
Unknown	bel	Discarded	descartado	Jondo.Unity.Server/Handlers/CharacterCreationHandler.cs	72	"kro, ""bel"", ""dan"", ""gor"" };"	FALSO POSITIVO: silaba del generador de nombres (array Middle)	Character/world entry	audited-inventory
Unknown	bvr	S2C/push	push	Jondo.Unity.Server/Handlers/CommandHandler.cs	171	type.ankama.com/bvr, Pb.New().Var(1, GameState.Kamas).Build()));	NetworkEnvelope.BuildGameNodePacket(uri, ...)	Unclassified	audited-inventory
Unknown	bvr	S2C/push	push	Jondo.Unity.Server/Handlers/CommandHandler.cs	185	"""type.ankama.com/bvr"", Pb.New().Var(1, GameState.Kamas).Build()));"	Current-source literal scan; semantic verification still required.	Unclassified	current-source
Unknown	bvr	S2C/push	push	Jondo.Unity.Server/Handlers/FightHandler.cs	4763	"await WriteFrameAsync(stream, BuildGameNodePacket(""type.ankama.com/bvr"", bvrMsg.ToByteArray()));"	NetworkEnvelope.BuildGameNodePacket(uri, ...)	Fight	audited-inventory
Unknown	bvr	S2C/push	push	Jondo.Unity.Server/Handlers/FightHandler.cs	4787	"await WriteFrameAsync(stream, BuildGameNodePacket(""type.ankama.com/bvr"", bvrMsg.ToByteArray()));"	Current-source literal scan; semantic verification still required.	Fight	current-source
Unknown	bvr	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	101	"return NetworkEnvelope.BuildGameNodePacket(""type.ankama.com/bvr"", bvrMsg.ToByteArray());"	NetworkEnvelope.BuildGameNodePacket(uri, ...)	Unclassified	audited-inventory
Unknown	bvr	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	102	"return NetworkEnvelope.BuildGameNodePacket(""type.ankama.com/bvr"", bvrMsg.ToByteArray());"	Current-source literal scan; semantic verification still required.	Unclassified	current-source
Unknown	dan	Discarded	descartado	Jondo.Unity.Server/Handlers/CharacterCreationHandler.cs	72	"kro, ""bel"", ""dan"", ""gor"" };"	FALSO POSITIVO: silaba del generador de nombres (array Middle)	Character/world entry	audited-inventory
Unknown	gor	Discarded	descartado	Jondo.Unity.Server/Handlers/CharacterCreationHandler.cs	72	"kro, ""bel"", ""dan"", ""gor"" };"	FALSO POSITIVO: silaba del generador de nombres (array Middle)	Character/world entry	audited-inventory
Game	hhf	Discarded	descartado	Jondo.Unity.Protocol/TypeRegistry.cs	17	"Register(""hhf"", hhf.Descriptor);"	DESCARTADO: TypeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto	Unclassified	audited-inventory
Game	hhf	Discarded	descartado	Jondo.Unity.Server/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)	Unclassified	audited-inventory
Game	hhf	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	304	"case ""hhf"": return (""World Loading"", ""Interfaces"", ""SocialGroupRights (Rights granted within the guild)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Game	hhf	S2C/push	push	Jondo.Unity.Server/Handlers/InventoryHandler.cs	254	"return NetworkEnvelope.BuildGameNodePacket(""type.ankama.com/hhf"", ms.ToArray());"	NetworkEnvelope.BuildGameNodePacket(uri, ...)	Personal data	audited-inventory
Game	hhf	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	37	"public static byte[] BuildHhfMessage() => BuildSingleVarIntMessage(""type.ankama.com/hhf"", 2);"	TransitionPacketsBuilder.BuildSingleVarIntMessage(uri, n)	Unclassified	audited-inventory
Game	hhh	Discarded	descartado	Jondo.Unity.Protocol/TypeRegistry.cs	18	"Register(""hhh"", hhh.Descriptor);"	DESCARTADO: TypeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto	Unclassified	audited-inventory
Game	hhh	Discarded	descartado	Jondo.Unity.Server/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)	Unclassified	audited-inventory
Game	hhh	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	305	"case ""hhh"": return (""World Loading"", ""Interfaces"", ""SocialGroupDetails (Descriptive sheet of the guild)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Game	hhh	S2C/push	push	Jondo.Unity.Server/Handlers/InventoryHandler.cs	263	"return NetworkEnvelope.BuildGameNodePacket(""type.ankama.com/hhh"", ms.ToArray());"	NetworkEnvelope.BuildGameNodePacket(uri, ...)	Personal data	audited-inventory
Game	hhh	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	38	"public static byte[] BuildHhhMessage() => BuildSingleVarIntMessage(""type.ankama.com/hhh"", 2);"	TransitionPacketsBuilder.BuildSingleVarIntMessage(uri, n)	Unclassified	audited-inventory
Unknown	hhi	Discarded	descartado	Jondo.Unity.Server/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)	Unclassified	audited-inventory
Unknown	hhi	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	307	"case ""hhi"": return (""World Loading"", ""Interfaces"", ""SocialGroupAlliance (Sheet of the alliance)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Unknown	hhi	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	22	"public static byte[] BuildHhiMessage() => BuildEmptyMessage(""type.ankama.com/hhi"");"	TransitionPacketsBuilder.BuildEmptyMessage(uri)	Unclassified	audited-inventory
Unknown	hhi	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	23	"public static byte[] BuildHhiMessage() => BuildEmptyMessage(""type.ankama.com/hhi"");"	Current-source literal scan; semantic verification still required.	Unclassified	current-source
Game	hhq	Discarded	descartado	Jondo.Unity.Server/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)	Unclassified	audited-inventory
Game	hhq	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	282	"case ""hhq"": return (""World Loading"", ""Interfaces"", ""SocialGroupPackets (Guild and alliance information)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Game	hhq	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	111	"return NetworkEnvelope.BuildGameNodePacket(""type.ankama.com/hhq"", ms.ToArray());"	NetworkEnvelope.BuildGameNodePacket(uri, ...)	Unclassified	audited-inventory
Game	hhy	S2C/push	push	Jondo.Unity.Server/Handlers/WardrobeHandler.cs	137	"ConnectionProtocol.Push(""hhy"", ConnectionProtocol.BuildTitlesOwned("	"ConnectionProtocol.Push(""xxx"", ...)"	Unclassified	audited-inventory
Game	hhy	C2S/read	read	Jondo.Unity.Server/Network/WorldEntry.cs	112	"hhy, ""lyt"","	lista de privacidad WorldEntry.NotReplayed; se usa en ReadPayload(message, opcode) en WorldEntry.cs:359	Character/world entry	audited-inventory
Game	hid	S2C/push	push	Jondo.Unity.Server/Handlers/WardrobeHandler.cs	119	"ConnectionProtocol.Push(""hid"", ConnectionProtocol.BuildTitleUpdated(title)));"	"ConnectionProtocol.Push(""xxx"", ...)"	Unclassified	audited-inventory
Game	hie	S2C/push	push	Jondo.Unity.Server/Handlers/EquipmentHandler.cs	86	"ConnectionProtocol.Push(""hie"", Pb.New().Var(1, 2).Build()));"	"ConnectionProtocol.Push(""xxx"", ...)"	Personal data	audited-inventory
Game	hif	S2C/push	push	Jondo.Unity.Server/Handlers/WardrobeHandler.cs	121	"ConnectionProtocol.Push(""hif"", ConnectionProtocol.BuildOrnamentUpdated(ornament)));"	"ConnectionProtocol.Push(""xxx"", ...)"	Unclassified	audited-inventory
Game	hii	S2C/push	push	Jondo.Unity.Server/Handlers/EquipmentHandler.cs	88	"ConnectionProtocol.Push(""hii"", Pb.New().Var(1, 2).Build()));"	"ConnectionProtocol.Push(""xxx"", ...)"	Personal data	audited-inventory
Game	hjc	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	559	"else if (payloadStr.Contains(""type.ankama.com/hjc""))"	comparacion de cadena sobre el frame recibido	Unclassified	audited-inventory
Game	hjc	C2S/read	read	Jondo.Unity.Server/Handlers/ZaapTravelHandler.cs	125	"byte[]? hjc = ConnectionProtocol.ReadPayload(payload, ""hjc"");"	"ConnectionProtocol.ReadPayload(frame, ""xxx"")"	Connection	audited-inventory
Game	hjj	S2C/push	push	Jondo.Unity.Server/Handlers/ZaapTravelHandler.cs	106	"ConnectionProtocol.Push(""hjj"", ConnectionProtocol.BuildZaapList(here, destinations)));"	"ConnectionProtocol.Push(""xxx"", ...)"	Connection	audited-inventory
Game	hjk	S2C/push	push	Jondo.Unity.Server/Network/ConnectionProtocol.cs	1516	"=> Push(""hjk"", Pb.New().Packed(1, new long[] { mapId }).Build());"	"ConnectionProtocol.Push(""xxx"", ...)"	Connection	audited-inventory
Game	hke	Discarded	descartado	Jondo.Unity.Server/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)	Unclassified	audited-inventory
Game	hke	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	270	"case ""hke"": return (""World Loading"", ""Interfaces"", ""ServerWelcomeMessage (Welcome message and news of the day)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Game	hmd	Discarded	descartado	Jondo.Unity.Server/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)	Unclassified	audited-inventory
Game	hmd	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	318	"case ""hmd"": return (""World Loading"", ""Inventory"", ""InventoryWeightMessage (Inventory carry pods)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Game	hmd	Discarded	descartado	Jondo.Unity.Server/TransitionPayloads.cs	49	public static readonly byte[] hmd = new byte[] {	DESCARTADO: array de TransitionPayloads que no referencia nadie	Unclassified	audited-inventory
Game	hmd	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	687	"return NetworkEnvelope.BuildGameNodePacket(""type.ankama.com/hmd"", ms.ToArray());"	NetworkEnvelope.BuildGameNodePacket(uri, ...)	Unclassified	audited-inventory
Game	hmj	Discarded	descartado	Jondo.Unity.Server/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)	Unclassified	audited-inventory
Game	hmj	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	288	"case ""hmj"": return (""World Loading"", ""Interfaces"", ""SocialGroupStatus (The player's guild status)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Game	hmj	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	15	"public static byte[] BuildHmjMessage() => BuildEmptyMessage(""type.ankama.com/hmj"");"	TransitionPacketsBuilder.BuildEmptyMessage(uri)	Unclassified	audited-inventory
Game	hml	Discarded	descartado	Jondo.Unity.Server/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)	Unclassified	audited-inventory
Game	hml	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	283	"case ""hml"": return (""World Loading"", ""Interfaces"", ""SocialPreferences (The player's social settings)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Game	hml	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	13	"public static byte[] BuildHmlMessage() => BuildEmptyMessage(""type.ankama.com/hml"");"	TransitionPacketsBuilder.BuildEmptyMessage(uri)	Unclassified	audited-inventory
Game	hms	S2C/push	push	Jondo.Unity.Server/Handlers/CommandHandler.cs	369	"ConnectionProtocol.Push(""hms"","	"ConnectionProtocol.Push(""xxx"", ...)"	Unclassified	audited-inventory
Game	hms	C2S/read	read	Jondo.Unity.Server/Network/WorldEntry.cs	308	"if (ConnectionProtocol.ReadPayload(frame, ""hms"") != null)"	"ConnectionProtocol.ReadPayload(frame, ""xxx"")"	Character/world entry	audited-inventory
Game	hms	C2S/read	read	Jondo.Unity.Server/Network/WorldEntry.cs	310	"return ConnectionProtocol.Push(""hms"","	"ConnectionProtocol.ReadPayload(frame, ""xxx"")"	Character/world entry	audited-inventory
Game	hmt	Discarded	descartado	Jondo.Unity.Protocol/TypeRegistry.cs	19	"Register(""hmt"", hmt.Descriptor);"	DESCARTADO: TypeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto	Unclassified	audited-inventory
Game	hmt	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	170	"if (payloadStr.Contains(""type.ankama.com/lqu"") || payloadStr.Contains(""type.ankama.com/hoy"") || payloadStr.Contains(""type.ankama.com/hmt"") || payloadStr.Contains(""type.ankama.com/knx""))"	comparacion de cadena sobre el frame recibido	Unclassified	audited-inventory
Game	hmt	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	238	"else if (!isAuthenticated && (payloadStr.Contains(""type.ankama.com/hmt"") || payloadStr.Contains(""type.ankama.com/ise"") || payloadStr.Contains(""type.ankama.com/jtk"") || payloadStr.Contains(""type.ankama.com/knx"") || payloa"	comparacion de cadena sobre el frame recibido	Unclassified	audited-inventory
Game	hmt	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	565	"else if (isAuthenticated && payloadStr.Contains(""type.ankama.com/hmt""))"	comparacion de cadena sobre el frame recibido	Unclassified	audited-inventory
Game	hmt	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	830	"cleanPayload.Contains(""hmt"") || cleanPayload.Contains(""lxi"") || cleanPayload.Contains(""jqf"") ||"	comparacion de cadena sobre el frame recibido	Unclassified	audited-inventory
Game	hmt	C2S/read	read	Jondo.Unity.Server/Handlers/SpellHandler.cs	27	"byte[]? hmt = ConnectionProtocol.ReadPayload(payload, ""hmt"");"	"ConnectionProtocol.ReadPayload(frame, ""xxx"")"	Personal data	audited-inventory
Unknown	hmv	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	321	"case ""hmv"": return (""World Loading"", ""Chat"", ""ChatChannelsListRequest (Request for the chat channels)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Unknown	hmv	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	673	"else if (payloadStr.Contains(""type.ankama.com/hmv""))"	comparacion de cadena sobre el frame recibido	Unclassified	audited-inventory
Unknown	hmv	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	775	"else if (payloadStr.Contains(""type.ankama.com/hmv""))"	Current-source literal scan; semantic verification still required.	Unclassified	current-source
Game	hng	S2C/push	push	Jondo.Unity.Server/Handlers/SpellHandler.cs	67	"ConnectionProtocol.Push(""hng"", ConnectionProtocol.BuildSpellSwapped(wanted, grade)));"	"ConnectionProtocol.Push(""xxx"", ...)"	Personal data	audited-inventory
Game	hnk	Discarded	descartado	Jondo.Unity.Server/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)	Unclassified	audited-inventory
Game	hnk	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	322	"case ""hnk"": return (""World Loading"", ""Chat"", ""ChatChannelsListMessage (Available chat channels)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Game	hnk	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	42	"public static byte[] BuildHnkMessage() => BuildSingleVarIntMessage(""type.ankama.com/hnk"", 2);"	TransitionPacketsBuilder.BuildSingleVarIntMessage(uri, n)	Unclassified	audited-inventory
Game	hnk	S2C/push	push	Jondo.Unity.Server/TransitionPayloads.cs	66	public static readonly byte[] hnk = new byte[] {	opcode dentro de un array de bytes (TransitionPayloads.hnk/kqmList/ith); se manda tal cual	Unclassified	audited-inventory
Game	hnn	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	833	"cleanPayload.Contains(""kmv"") || cleanPayload.Contains(""hnn""))"	comparacion de cadena sobre el frame recibido	Unclassified	audited-inventory
Game	hnp	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	241	"case ""hnp"": return (""Server List"", ""Sync"", ""SystemConfiguration (Game variable configuration)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Game	hnp	S2C/push	push	Jondo.Unity.Server/Handlers/CharacterSelectionHandler.cs	120	"byte[] frame557 = NetworkEnvelope.ConvertHexStringToByteArray(""19-1A-17-0A-15-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63-6F-6D-2F-6B-6F-66-24-1A-22-0A-20-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63"	opcode escondido en cadena hex; la trama se escribe en el socket	Character/world entry	audited-inventory
Unknown	hnq	Discarded	descartado	Jondo.Unity.Server/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)	Unclassified	audited-inventory
Unknown	hnq	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	290	"case ""hnq"": return (""World Loading"", ""Sync"", ""SpouseStatusMessage (Marital status / marriage)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Unknown	hnq	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	189	"return NetworkEnvelope.BuildGameNodePacket(""type.ankama.com/hnq"", ms.ToArray());"	NetworkEnvelope.BuildGameNodePacket(uri, ...)	Unclassified	audited-inventory
Unknown	hnq	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	190	"return NetworkEnvelope.BuildGameNodePacket(""type.ankama.com/hnq"", ms.ToArray());"	Current-source literal scan; semantic verification still required.	Unclassified	current-source
Game	hnv	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	245	"case ""hnv"": return (""Server List"", ""Connection"", ""ServerOptionalFeatures (Optional features)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Game	hnv	S2C/push	push	Jondo.Unity.Server/Handlers/CharacterSelectionHandler.cs	120	"byte[] frame557 = NetworkEnvelope.ConvertHexStringToByteArray(""19-1A-17-0A-15-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63-6F-6D-2F-6B-6F-66-24-1A-22-0A-20-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63"	opcode escondido en cadena hex; la trama se escribe en el socket	Character/world entry	audited-inventory
Game	hol	C2S/read	read	Jondo.Unity.Server/Network/WorldEntry.cs	100	"kqg, ""jhe"", ""jhh"", ""jhk"", ""hol"", ""jgu"", ""ihb"", ""koj"", ""ife"", ""jjs"", ""jaa"","	lista de privacidad WorldEntry.NotReplayed; se usa en ReadPayload(message, opcode) en WorldEntry.cs:359	Character/world entry	audited-inventory
Game	hoy	Discarded	descartado	Jondo.Unity.Protocol/OpcodeRegistry.cs	17	"public const string GameServerHello = ""hoy"";"	DESCARTADO: OpcodeRegistry no lo referencia nadie (0 usos fuera del propio fichero); codigo muerto	Unclassified	audited-inventory
Game	hoy	C2S/dispatch	despacho	Jondo.Unity.Server/Handlers/FightHandler.cs	1043	"else if (payloadStr.Contains(""type.ankama.com/hoy""))"	comparacion de cadena sobre el frame recibido	Fight	audited-inventory
Game	hoy	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	170	"if (payloadStr.Contains(""type.ankama.com/lqu"") || payloadStr.Contains(""type.ankama.com/hoy"") || payloadStr.Contains(""type.ankama.com/hmt"") || payloadStr.Contains(""type.ankama.com/knx""))"	comparacion de cadena sobre el frame recibido	Unclassified	audited-inventory
Game	hoy	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	238	"else if (!isAuthenticated && (payloadStr.Contains(""type.ankama.com/hmt"") || payloadStr.Contains(""type.ankama.com/ise"") || payloadStr.Contains(""type.ankama.com/jtk"") || payloadStr.Contains(""type.ankama.com/knx"") || payloa"	comparacion de cadena sobre el frame recibido	Unclassified	audited-inventory
Game	hoy	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	792	"|| payloadStr.Contains(""type.ankama.com/hoy""))"	comparacion de cadena sobre el frame recibido	Unclassified	audited-inventory
Game	hoy	S2C/push	push	Jondo.Unity.Server/Network/ConnectionProtocol.cs	199	"Push(""hoy"", BuildHoy()),"	"ConnectionProtocol.Push(""xxx"", ...)"	Connection	audited-inventory
Game	hoy	S2C/push	push	Jondo.Unity.Server/Network/GameNodeProxy.cs	172	"byte[] hoyFrame = NetworkEnvelope.ConvertHexStringToByteArray(""1D-1A-1B-0A-19-0A-13-74-79-70-65-2E-61-6E-6B-61-6D-61-2E-63-6F-6D-2F-68-6F-79-12-04-08-1E-10-01"");"	opcode escondido en cadena hex; la trama se escribe en el socket	Unclassified	audited-inventory
Game	hpd	S2C/push	push	Jondo.Unity.Server/Network/ConnectionProtocol.cs	203	"Push(""hpd"", Pb.New().Var(1, 1).Build()),"	"ConnectionProtocol.Push(""xxx"", ...)"	Connection	audited-inventory
Game	hqa	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	782	"else if (payloadStr.Contains(""type.ankama.com/hqa""))"	comparacion de cadena sobre el frame recibido	Unclassified	audited-inventory
Game	hqa	S2C/push	push	Jondo.Unity.Server/Network/ConnectionProtocolSelfTest.cs	39	".Str(1, ""type.ankama.com/hqa"")"	Current-source literal scan; semantic verification still required.	Connection	current-source
Game	hqa	C2S/read	read	Jondo.Unity.Server/Network/FightProtocol.cs	65	"byte[]? hqa = ConnectionProtocol.ReadPayload(payload, ""hqa"");"	"ConnectionProtocol.ReadPayload(frame, ""xxx"")"	Fight	audited-inventory
Game	ibo	Discarded	descartado	Jondo.Unity.Server/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)	Unclassified	audited-inventory
Game	ibo	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	287	"case ""ibo"": return (""World Loading"", ""Interfaces"", ""ShortcutBarContentMessage (Quick spell bar)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Game	ibo	S2C/push	push	Jondo.Unity.Server/Network/TransitionPacketsBuilder.cs	318	"return NetworkEnvelope.BuildGameNodePacket(""type.ankama.com/ibo"", ms.ToArray());"	NetworkEnvelope.BuildGameNodePacket(uri, ...)	Unclassified	audited-inventory
Unknown	ibt	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	324	"case ""ibt"": return (""World Loading"", ""Sync"", ""GameReadyTrigger (Request to hand over control of the game)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Unknown	ibt	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	699	"else if (payloadStr.Contains(""type.ankama.com/ibt""))"	comparacion de cadena sobre el frame recibido	Unclassified	audited-inventory
Unknown	ibt	C2S/dispatch	despacho	Jondo.Unity.Server/Network/GameNodeProxy.cs	797	"else if (payloadStr.Contains(""type.ankama.com/ibt""))"	Current-source literal scan; semantic verification still required.	Unclassified	current-source
Unknown	icb	Discarded	descartado	Jondo.Unity.Server/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)	Unclassified	audited-inventory
Unknown	icb	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	268	"case ""icb"": return (""World Loading"", ""Character"", ""CharacterStatsListMessage (Combat state and base stats)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Unknown	icg	Discarded	descartado	Jondo.Unity.Server/BasePayloads.cs	16	public static readonly byte[] WorldEnteringPackets = new byte[] {	DESCARTADO: opcode dentro de un array de BasePayloads; nadie referencia BasePayloads (codigo muerto)	Unclassified	audited-inventory
Unknown	icg	Discarded	descartado	Jondo.Unity.Server/Protocol/NetworkMessage.cs	286	"case ""icg"": return (""World Loading"", ""Inventory"", ""InventoryWeightMessage (Inventory carry pods)"");"	DESCARTADO: tabla de etiquetas del log (GetPacketMetadata / isPing). Solo pinta texto en consola, no cambia el protocolo	Unclassified	audited-inventory
Unknown	icg	Discarded	descartado	Jondo.Unity.Server/TransitionPayloads.cs	88	new byte[] { 0x1A, 0x31, 0x0A, 0x2F, 0x0A, 0x13, 0x74, 0x79, 0x70, 0x65, 0x2E, 0x61, 0x6E, 0x6B, 0x61, 0x6D, 0x61, 0x2E, 0x63, 0x6F, 0x6D, 0x2F, 0x69, 0x63, 0x67, 0x12, 0x18, 0x0A, 0x16, 0x1A, 0x11, 0	DESCARTADO: array de TransitionPayloads que no referencia nadie	Unclassified	audited-inventory
