compressedCoords,x,y,mapIds
-196641,-32764,-32735,126092036
-4587568,-32697,-32720,54169392
-4980819,-32691,-32685,54172499
131015,1,-32711,126094620
-5439535,-32684,-32721,54176047
-3735619,-32710,-32701,54162755
-4325424,-32701,-32720,54167344
-3473482,-32714,-32694,54160714
-3473478,-32714,-32698,54160710
131072,2,0,54526976;218104832;202244614;201851904;74187776;201327616;162268160;201589760;153879552;219939840;201589763;160957440;201327874;210765572;90440704;211813376;144835842;207356928;211814400;211812352;88081175;205785108
29,0,29,54525981;88211974
