mapId,posX,posY,subAreaId,outdoor,name
126092036,-4,-33,178,True,
54169392,-71,-48,604,True,
54172499,-77,-83,606,True,
126094620,1,-57,809,True,
54176047,-84,-47,602,True,
54162755,-58,-67,604,True,
54167344,-67,-48,604,True,
54160714,-54,-74,609,True,
54160710,-54,-70,609,True,
54526976,2,0,601,False,
54525981,0,29,601,False,
153888002,0,0,449,True,
169348096,27,26,871,False,Koutoulou's Temple - Fourth Room
54163264,-59,-64,604,True,
126092052,-4,-49,519,True,
54160191,-53,-63,604,True,
54162243,-57,-67,604,True,
54174541,-81,-77,606,True,
54163769,-60,-57,615,True,
110102528,-52,-87,791,False,Sylargh's Carrier - Annexe
236716546,12,2,1046,True,
54164293,-61,-69,608,True,
161613060,0,0,1036,True,
54182221,0,0,606,True,
54161220,-55,-68,604,True,
126092545,-3,-30,178,True,
156240385,-3,-43,56,True,
159649285,-26,-60,43,True,
60034568,-77,-65,605,True,
224397057,0,0,1021,False,
135266821,5,9,828,True,
136451,-10,-3,232,True,
68551172,6,-3,1,True,
54165821,-64,-61,604,True,
126092037,-4,-34,178,True,
54166324,-65,-52,615,True,
54171935,-76,-31,602,True,
75631362,0,0,231,True,
153880322,3,-2,443,True,
237905967,0,0,904,True,
54790154,4,10,600,False,
155663,-48,15,453,True,
237783092,0,0,904,False,
161742848,3,-9,852,False,
160956929,1,1,856,True,
215876868,-22,33,980,False,
75498755,-18,-6,231,True,
237764614,0,0,904,True,
237774854,0,0,904,True,
237898786,0,0,904,True,
54169418,-71,-74,611,True,
54166834,-66,-50,604,True,
54161731,-56,-67,604,True,
54157626,0,0,604,True,
198444038,-84,-14,917,True,
68553216,2,-7,180,True,
237768704,0,0,904,False,
111412737,-68,-78,616,True,
168691714,0,0,866,True,
162793482,0,0,851,False,Pyramid Haven Bag
168560640,27,26,866,True,
99614726,24,-4,161,True,
215746316,0,0,980,True,Ritual Room
237768743,0,0,904,False,
156240901,-2,-39,56,True,
54166846,-66,-62,604,True,
54167866,-68,-58,604,True,
54154558,0,0,601,True,
54159146,-51,-42,652,True,
156241922,0,-42,56,True,
54167893,-68,-85,610,True,
54176046,-84,-46,602,True,
129761280,-10,-5,822,True,
54163252,-59,-52,604,True,
54172458,-77,-42,601,True,
117441536,16,13,801,True,
54165815,-64,-55,615,True,
201852931,4,3,927,True,
54162242,-57,-66,604,True,
54178129,0,0,610,True,
54167878,-68,-70,608,True,
126094618,1,-55,809,True,
54171427,-75,-35,600,True,
54174028,-80,-76,606,True,
156238859,-6,-33,56,True,
147588618,-20,-46,70,True,
49022467,2,21,170,False,
159493,-55,-5,457,True,
169350151,0,0,871,True,Koutoulou's Temple - Exit
240387075,20,19,1119,True,
59510786,-76,-74,622,True,Snowfoux Caverns
110888961,-60,-71,785,True,
139788,-17,12,253,True,
126093060,-2,-33,178,True,
54165833,-64,-73,611,True,
54168394,-69,-74,611,True,
54168395,-69,-75,611,True,
126095130,2,-55,809,True,
147590664,-16,-48,70,True,
54167347,-67,-51,615,True,
54168369,-69,-49,604,True,
116657671,0,0,538,True,Wa Wabbit's Warren - Fourth Room
54164278,-61,-54,615,True,
173277185,13,-59,872,True,
201852419,3,3,927,True,
54169419,-71,-75,611,True,
230032644,0,6,482,False,Sidekick Inn
130941697,0,0,169,True,
156239361,-5,-43,56,True,
54170407,-73,-39,601,True,
54179104,0,0,600,True,
129762306,-9,-4,822,True,
239606276,-14,-63,1057,False,
90836227,0,0,32,True,
239608839,-3,-7,1062,False,
147590149,-17,-51,70,True,
178783244,-28,24,891,False,
159649795,-25,-62,43,True,
183109639,-38,21,896,True,
112460045,-59,-88,789,True,
233312256,0,0,1122,True,15 - Moon (Teams)
233312264,0,0,1122,True,39 - Wukang (Teams)
34341126,-37,-16,319,False,The Labyrinth of the Minotoror - Ninth Room
235143429,0,0,1042,True,
221644804,0,0,1019,True,
68558852,0,0,479,True,
68419589,7,-2,1,True,
68420613,9,-2,1,True,
160258,-57,2,453,True,
126094616,1,-53,809,True,
156241410,-1,-42,56,True,
126092565,-3,-50,519,True,
126095640,3,-53,519,True,
68419585,7,-6,180,True,
172228618,-32,39,886,True,
172228619,-32,40,886,True,
210633216,-2,-5,956,True,
215744516,-22,33,980,False,
215744770,-22,33,980,False,
75500292,-15,-7,231,True,
49025536,2,21,170,False,
139461639,-19,-38,521,True,
104596995,-5,10,284,False,Bwork Dungeon - Fifth Room
139274,-16,10,253,True,
60032000,-82,-73,605,True,
133432322,-1,-42,56,True,
189530638,-1,-15,97,True,
160273,-57,17,454,True,
227283972,0,0,1027,True,
75497984,-19,-3,231,True,
173539842,14,-63,873,True,
