mapId,rightMapId,bottomMapId,leftMapId,topMapId
0,88080663,88212246,88212759,88212248
3333,0,0,68551682,68551169
133132,0,221512192,0,0
133644,0,221511680,0,0
135179,0,73404427,73403914,0
135686,0,0,73403397,0
135687,0,0,73403398,0
135688,0,0,73403399,0
136192,0,0,73403137,0
136197,0,73403397,0,0
136449,0,0,73403138,0
136450,0,0,73403139,0
138252,0,63177216,0,0
139784,0,0,0,73531910
157205,0,0,0,63965696
158215,0,0,78644738,0
158216,0,0,78644739,0
159236,0,78644224,0,0
159748,0,78643712,0,0
159753,0,0,0,78643715
159756,63963912,0,0,0
159765,0,0,0,63963136
160513,159744,0,0,0
160773,78643200,0,0,0
160774,78643201,0,0,0
160775,78643202,0,0,0
160776,78643203,0,0,0
161542,161029,0,162055,0
22547203,0,0,22545667,0
23330816,0,159769,0,23331073
23331073,0,23330816,0,0
25690112,0,24117761,0,0
25690115,0,0,24118793,0
25692160,0,24118785,0,0
26738688,0,162056,0,0
28049666,0,28049408,0,0
28049920,0,24118282,0,0
28049921,0,0,28181505,0
28050944,28051456,0,28050432,0
28050946,28051458,0,0,0
28181505,28049921,0,0,0
40894464,40895488,0,0,73402891
40895488,0,0,40894464,40895746
40895746,0,40895488,0,0
54159142,0,0,54159655,0
54159655,54159142,0,54160168,0
54160168,54159655,0,54160680,54160169
54167883,111149062,0,0,0
54169416,0,0,54169416,0
54170450,0,57671680,57671680,0
54171473,57671680,0,0,0
54173990,0,0,54175012,0
54175012,54173990,0,0,0
54175016,0,0,54530067,0
54175529,0,54530067,0,0
54530067,54175016,0,0,54175529
57148161,0,57149697,57279745,0
57149697,0,0,0,57148161
57279745,57148161,0,0,0
57671680,54170450,0,54171473,54170450
60038146,194905088,194772994,0,0
62652928,0,0,54169416,0
62653952,54168392,0,0,0
62920706,0,0,62920704,0
63177216,0,0,0,138252
63963136,0,159765,0,0
63963912,0,0,159756,0
63965696,0,157205,0,0
68421129,0,88085268,88084757,0
68422145,0,0,0,68423168
68423168,0,68422145,68422145,0
68551169,0,3333,0,0
68551682,3333,0,0,0
68552449,0,0,190579205,0
68552704,0,0,0,68552449
69994496,69995520,0,0,0
69995520,69996544,0,69994496,0
70778880,190710278,185863682,185863169,0
72619009,0,0,0,88211975
72619521,88080904,0,0,88080391
73402891,0,40894464,0,0
73403137,136192,0,0,0
73403138,136449,0,0,0
73403397,135686,0,0,136197
73403398,135687,0,0,0
73403399,135688,0,0,0
73403912,135177,0,0,135688
73403913,135178,0,0,0
73403914,135179,0,0,0
73404427,0,0,0,135179
73404430,221643778,0,0,0
73404431,221643779,0,0,0
73404432,221643780,0,0,0
73404941,0,221643778,0,0
73405452,221511680,0,0,0
73405453,0,221643266,0,0
73531910,0,139784,0,0
73533699,0,0,0,75497472
73534211,0,0,0,75629056
73534722,0,0,171706890,0
74973185,74974723,74974727,74974725,74974721
74974721,0,74973185,0,0
74974723,0,0,74973185,0
74974725,74973185,0,0,0
74974727,0,0,0,74973185
74977793,0,74977795,0,0
74977795,0,74977797,0,74977793
74977797,0,0,0,74977795
75497472,0,73533699,0,0
75498762,0,0,0,164365334
75499008,0,73532163,0,0
75499520,0,73400579,0,0
75500032,0,73401091,0,0
75500294,147849222,0,0,0
75500544,0,73401603,0,0
75500804,147849736,0,0,0
75500805,0,0,0,147849222
75501056,0,73402115,0,0
75501315,0,0,0,147849736
75501568,73403140,0,0,0
75501826,0,0,0,147850249
75629056,0,73534211,0,0
76286985,0,76286986,0,0
76286986,0,0,0,76286985
76289036,0,0,76288522,0
76289281,0,0,0,76288257
78643200,0,0,160773,160260
78643201,0,0,160774,0
78643202,0,0,160775,0
78643203,0,160265,160776,0
78643712,0,0,0,159748
78643715,0,159753,0,0
78644224,0,0,0,159236
78644736,158213,0,0,158724
78644737,158214,0,0,0
78644738,158215,0,0,0
78644739,158216,0,0,0
82315264,88086791,0,0,0
84410626,0,0,0,221511686
84410880,0,0,0,221511688
84411392,0,0,0,221512200
84412416,88212481,0,0,88212992
84542210,0,0,0,221643270
84805377,189530118,189661703,0,0
84805378,189530117,0,0,0
84805379,189530116,0,0,0
84805380,189530115,0,0,0
84805381,189530114,0,0,0
84805382,189530113,0,0,126092288
84805632,189661703,0,0,0
84805633,189661704,0,0,0
84805634,189661705,165156880,0,0
84805894,0,0,0,126091776
84806146,0,165156368,0,0
84806406,0,0,0,126091264
84806656,0,0,165155341,0
84806657,0,0,165155342,0
84806658,0,165155856,165155343,0
84806913,0,0,165155340,0
84806914,0,0,165155339,0
84806915,0,0,165155338,0
84806916,0,0,165155337,0
84806917,0,0,165155336,0
84806918,0,0,165155335,165155846
85721601,0,75500290,0,0
85721603,0,85721601,0,0
